pipeline,type,segment_id,start,length,AVG,pvalue,class
pvalue,null,0,0,840,33.6905,0.000764282,unknown
pvalue,null,1,840,840,31.7857,0.00321063,unknown
pvalue,null,2,1680,840,33.9286,1.20913e-05,unknown
pvalue,null,3,2520,840,33.6905,0.000707551,unknown
pvalue,null,4,3360,840,31.9048,0.0202803,unknown
pvalue,null,5,4200,840,31.0714,0.0715001,unknown
pvalue,null,6,5040,840,38.6905,2.54398e-13,unknown
pvalue,null,7,5880,840,42.381,3.58582e-25,unknown
pvalue,null,8,6720,840,43.3333,1.46753e-26,unknown
pvalue,null,9,7560,840,32.619,9.9002e-05,unknown
pvalue,null,10,8400,840,34.2857,7.73079e-07,unknown
pvalue,null,11,9240,840,38.9286,3.76066e-16,unknown
pvalue,null,12,10080,840,30.119,0.0363568,unknown
pvalue,null,13,10920,840,30,0.0642573,unknown
pvalue,null,14,11760,840,31.6667,0.000475496,unknown
pvalue,null,15,12600,840,30.8333,0.0176801,unknown
pvalue,null,16,13440,840,30.2381,0.102954,unknown
pvalue,null,17,14280,840,30.5952,0.237007,unknown
pvalue,null,18,15120,840,31.9048,0.0121406,unknown
pvalue,null,19,15960,840,32.1429,0.00221709,unknown
pvalue,null,20,16800,840,31.4286,0.0319934,unknown
pvalue,null,21,17640,840,30.4762,0.0189215,unknown
pvalue,null,22,18480,840,30.119,0.44015,unknown
pvalue,null,23,19320,840,32.7381,5.2374e-05,unknown
pvalue,null,24,20160,840,33.5714,0.000214115,unknown
pvalue,null,25,21000,840,32.5,0.00233792,unknown
pvalue,null,26,21840,840,37.5,3.77616e-13,unknown
pvalue,null,27,22680,840,36.7857,2.33507e-12,unknown
pvalue,null,28,23520,840,33.5714,3.6554e-07,unknown
pvalue,null,29,24360,840,32.381,0.00199505,unknown
pvalue,null,30,25200,840,34.7619,4.92344e-08,unknown
pvalue,null,31,26040,840,29.5238,0.0168724,unknown
pvalue,null,32,26880,840,33.0952,3.00601e-05,unknown
pvalue,null,33,27720,840,36.0714,3.35639e-10,unknown
pvalue,null,34,28560,840,29.2857,0.104856,unknown
pvalue,null,35,29400,840,32.619,9.9002e-05,unknown
pvalue,null,36,30240,840,30.8333,0.00299495,unknown
pvalue,null,37,31080,840,33.4524,0.000177706,unknown
pvalue,null,38,31920,840,32.1429,0.00546739,unknown
pvalue,null,39,32760,840,32.619,0.00224598,unknown
pvalue,null,40,33600,840,29.7619,0.421492,unknown
pvalue,null,41,34440,840,30,0.189374,unknown
pvalue,null,42,35280,840,32.0238,0.000578695,unknown
pvalue,null,43,36120,840,31.3095,0.0235557,unknown
pvalue,null,44,36960,840,30.7143,0.00583513,unknown
pvalue,null,45,37800,840,33.8095,5.20801e-06,unknown
pvalue,null,46,38640,840,33.0952,1.44208e-05,unknown
pvalue,null,47,39480,840,42.381,1.04098e-25,unknown
pvalue,null,48,40320,840,40.8333,2.63417e-20,unknown
pvalue,null,49,41160,840,48.3333,0,unknown
pvalue,null,50,42000,840,37.2619,9.25374e-15,unknown
pvalue,null,51,42840,840,33.5714,0.000659429,unknown
pvalue,null,52,43680,840,41.5476,2.07861e-21,unknown
pvalue,null,53,44520,840,32.5,0.000156601,unknown
pvalue,null,54,45360,840,30.2381,0.246656,unknown
pvalue,null,55,46200,840,32.0238,0.028811,unknown
pvalue,null,56,47040,840,32.2619,0.000158169,unknown
pvalue,null,57,47880,840,31.4286,0.113437,unknown
pvalue,null,58,48720,840,30,0.337179,unknown
pvalue,null,59,49560,840,30,0.0324548,unknown
pvalue,null,60,50400,840,30.8333,0.025605,unknown
pvalue,null,61,51240,840,30.3571,0.059241,unknown
pvalue,null,62,52080,840,30.9524,0.00295633,unknown
pvalue,null,63,52920,840,32.5,0.00157849,unknown
pvalue,null,64,53760,840,32.7381,0.000767564,unknown
pvalue,null,65,54600,840,33.8095,2.50953e-06,unknown
pvalue,null,66,55440,840,32.0238,0.0178201,unknown
pvalue,null,67,56280,840,43.0952,1.53242e-25,unknown
pvalue,null,68,57120,840,32.8571,2.30746e-05,unknown
pvalue,null,69,57960,840,32.7381,0.000329337,unknown
pvalue,null,70,58800,840,34.6429,5.18487e-05,unknown
pvalue,null,71,59640,840,32.1429,0.000210451,unknown
pvalue,null,72,60480,840,29.6429,0.100187,unknown
pvalue,null,73,61320,840,33.2143,7.12482e-05,unknown
pvalue,null,74,62160,840,36.3095,6.86943e-11,unknown
pvalue,null,75,63000,840,31.3095,0.00608606,unknown
pvalue,null,76,63840,840,32.8571,0.000131426,unknown
pvalue,null,77,64680,840,31.9048,0.0006832,unknown
pvalue,null,78,65520,840,31.9048,0.0116545,unknown
pvalue,null,79,66360,840,33.2143,4.39232e-06,unknown
pvalue,null,80,67200,840,30.7143,0.00929239,unknown
