pipeline,type,segment_id,start,length,AVG,pvalue,class
avg,real,0,0,840,31.7857,0.0166046,noise
avg,real,1,840,840,31.9048,0.0191377,noise
avg,real,2,1680,840,33.9286,4.913e-05,noise
avg,real,3,2520,840,33.0952,0.000682988,strong
avg,real,4,3360,840,31.9048,0.0381026,noise
avg,real,5,4200,840,30.119,0.317882,noise
avg,real,6,5040,840,38.9286,3.76181e-16,noise
avg,real,7,5880,840,42.8571,1.8333e-27,noise
avg,real,8,6720,840,42.8571,1.39232e-26,noise
avg,real,9,7560,840,35.9524,3.98543e-07,noise
avg,real,10,8400,840,34.6429,8.21729e-05,noise
avg,real,11,9240,840,39.881,8.80104e-19,noise
avg,real,12,10080,840,31.4286,0.0385183,noise
avg,real,13,10920,840,30.7143,0.0519913,noise
avg,real,14,11760,840,35.2381,1.31345e-05,strong
avg,real,15,12600,840,32.619,0.0181803,noise
avg,real,16,13440,840,31.1905,0.123184,noise
avg,real,17,14280,840,29.7619,0.736287,noise
avg,real,18,15120,840,30.9524,0.0798025,noise
avg,real,19,15960,840,31.0714,0.203437,noise
avg,real,20,16800,840,31.6667,0.00150555,strong
avg,real,21,17640,840,31.3095,0.146754,noise
avg,real,22,18480,840,31.7857,0.0486809,weak
avg,real,23,19320,840,32.619,0.00859865,weak
avg,real,24,20160,840,33.5714,0.000144107,strong
avg,real,25,21000,840,30.3571,0.442448,noise
avg,real,26,21840,840,37.9762,7.40055e-11,weak
avg,real,27,22680,840,38.6905,2.11526e-13,weak
avg,real,28,23520,840,34.4048,5.36742e-05,weak
avg,real,29,24360,840,32.1429,0.00197356,noise
avg,real,30,25200,840,32.9762,0.00129143,noise
avg,real,31,26040,840,31.1905,0.0853813,noise
avg,real,32,26880,840,31.7857,0.0704582,noise
avg,real,33,27720,840,38.9286,5.74006e-15,strong
avg,real,34,28560,840,31.6667,0.0577254,noise
avg,real,35,29400,840,33.8095,0.000129085,strong
avg,real,36,30240,840,30.4762,0.110282,noise
avg,real,37,31080,840,32.2619,0.000270131,strong
avg,real,38,31920,840,32.0238,0.00597252,weak
avg,real,39,32760,840,32.9762,0.000130351,strong
avg,real,40,33600,840,30,0.190177,weak
avg,real,41,34440,840,29.6429,0.412786,noise
avg,real,42,35280,840,32.9762,8.8667e-05,noise
avg,real,43,36120,840,31.4286,0.0544872,weak
avg,real,44,36960,840,32.381,0.00340435,strong
avg,real,45,37800,840,32.5,0.00451246,noise
avg,real,46,38640,840,34.0476,7.37138e-05,noise
avg,real,47,39480,840,42.5,1.30134e-25,strong
avg,real,48,40320,840,42.619,1.74024e-26,strong
avg,real,49,41160,840,44.1667,8.17112e-31,strong
avg,real,50,42000,840,35.7143,1.57777e-09,strong
avg,real,51,42840,840,34.1667,4.57208e-05,strong
avg,real,52,43680,840,42.5,5.94484e-25,weak
avg,real,53,44520,840,31.9048,0.0231005,noise
avg,real,54,45360,840,30.5952,0.248916,weak
avg,real,55,46200,840,31.9048,0.0415519,noise
avg,real,56,47040,840,31.1905,0.176207,noise
avg,real,57,47880,840,31.5476,0.113013,weak
avg,real,58,48720,840,30.5952,0.338875,noise
avg,real,59,49560,840,32.7381,0.00215962,weak
avg,real,60,50400,840,32.9762,0.0070651,strong
avg,real,61,51240,840,29.2857,0.754108,noise
avg,real,62,52080,840,32.2619,0.0144301,weak
avg,real,63,52920,840,31.7857,0.0409497,weak
avg,real,64,53760,840,32.619,0.00617622,weak
avg,real,65,54600,840,32.619,0.00762001,weak
avg,real,66,55440,840,30.5952,0.268941,weak
avg,real,67,56280,840,42.9762,2.30675e-22,noise
avg,real,68,57120,840,34.0476,2.11788e-05,strong
avg,real,69,57960,840,36.5476,3.2011e-09,strong
avg,real,70,58800,840,32.381,0.00201908,noise
avg,real,71,59640,840,34.4048,0.000154124,noise
avg,real,72,60480,840,29.6429,0.662948,weak
avg,real,73,61320,840,32.9762,0.0121761,noise
avg,real,74,62160,840,39.4048,4.20741e-16,noise
avg,real,75,63000,840,31.5476,0.059447,noise
avg,real,76,63840,840,33.9286,9.46932e-06,strong
avg,real,77,64680,840,32.9762,0.00353924,strong
avg,real,78,65520,840,30.7143,0.0502953,noise
avg,real,79,66360,840,35.3571,5.74968e-08,weak
avg,real,80,67200,840,30.7143,0.165742,noise
