pipeline,type,segment_id,start,length,AVG,pvalue,class
pvalue,real,0,0,1680,26.9643,0.512871,noise
pvalue,real,1,1680,1680,31.4881,4.20711e-07,strong
pvalue,real,2,3360,1680,29.1667,0.00492686,noise
pvalue,real,3,5040,1680,40.8929,0,noise
pvalue,real,4,6720,1680,37.381,1.04116e-26,strong
pvalue,real,5,8400,1680,33.9881,5.19491e-14,strong
pvalue,real,6,10080,1680,28.631,0.239683,noise
pvalue,real,7,11760,1680,31.0714,9.17153e-06,noise
pvalue,real,8,13440,1680,28.1548,0.111839,noise
pvalue,real,9,15120,1680,28.2738,0.0635553,noise
pvalue,real,10,16800,1680,28.5119,0.0415886,weak
pvalue,real,11,18480,1680,29.2857,0.0410664,noise
pvalue,real,12,20160,1680,28.9881,0.00873105,strong
pvalue,real,13,21840,1680,36.6667,7.42668e-22,strong
pvalue,real,14,23520,1680,30.5357,1.8454e-06,noise
pvalue,real,15,25200,1680,30.1786,9.95839e-05,strong
pvalue,real,16,26880,1680,32.5,1.33458e-10,strong
pvalue,real,17,28560,1680,29.2857,0.00487377,noise
pvalue,real,18,30240,1680,30.8929,5.37544e-05,strong
pvalue,real,19,31920,1680,32.0833,1.78025e-08,strong
pvalue,real,20,33600,1680,28.0357,0.0945151,weak
pvalue,real,21,35280,1680,30.5357,1.96066e-05,noise
pvalue,real,22,36960,1680,30.8333,1.75191e-06,noise
pvalue,real,23,38640,1680,37.0833,3.94337e-25,weak
pvalue,real,24,40320,1680,43.3929,0,noise
pvalue,real,25,42000,1680,33.1548,4.43546e-12,weak
pvalue,real,26,43680,1680,33.8095,7.2081e-14,weak
pvalue,real,27,45360,1680,28.9286,0.0461925,noise
pvalue,real,28,47040,1680,28.2738,0.0429036,noise
pvalue,real,29,48720,1680,28.4524,0.143764,noise
pvalue,real,30,50400,1680,29.5238,0.000895499,strong
pvalue,real,31,52080,1680,28.75,0.102164,noise
pvalue,real,32,53760,1680,29.8214,0.011698,weak
pvalue,real,33,55440,1680,35.0595,1.10343e-17,noise
pvalue,real,34,57120,1680,29.5238,0.000551906,strong
pvalue,real,35,58800,1680,31.0714,0.000179336,noise
pvalue,real,36,60480,1680,29.7024,0.0030512,noise
pvalue,real,37,62160,1680,31.4286,6.82898e-08,noise
pvalue,real,38,63840,1680,32.5595,1.23028e-08,strong
pvalue,real,39,65520,1680,31.1905,1.50693e-06,weak
pvalue,real,40,67200,892,28.1706,0.262787,noise
