pipeline,type,segment_id,start,length,AVG,pvalue,class
avg,null,0,0,840,31.4286,0.0143455,unknown
avg,null,1,840,840,32.8571,0.00103077,unknown
avg,null,2,1680,840,34.7619,1.3214e-05,unknown
avg,null,3,2520,840,30,0.271999,unknown
avg,null,4,3360,840,31.6667,0.00604638,unknown
avg,null,5,4200,840,31.3095,0.0622612,unknown
avg,null,6,5040,840,40.8333,2.33164e-17,unknown
avg,null,7,5880,840,43.5714,1.00198e-28,unknown
avg,null,8,6720,840,43.4524,3.59085e-28,unknown
avg,null,9,7560,840,35.5952,5.59556e-08,unknown
avg,null,10,8400,840,35.8333,3.57662e-07,unknown
avg,null,11,9240,840,42.9762,2.71135e-23,unknown
avg,null,12,10080,840,32.7381,0.00848177,unknown
avg,null,13,10920,840,32.619,0.000168541,unknown
avg,null,14,11760,840,32.8571,0.00593144,unknown
avg,null,15,12600,840,32.619,0.000783647,unknown
avg,null,16,13440,840,31.7857,0.0356314,unknown
avg,null,17,14280,840,31.7857,0.0179205,unknown
avg,null,18,15120,840,31.9048,0.00580703,unknown
avg,null,19,15960,840,31.4286,0.0753474,unknown
avg,null,20,16800,840,32.1429,0.028229,unknown
avg,null,21,17640,840,32.0238,0.00487085,unknown
avg,null,22,18480,840,30.5952,0.404778,unknown
avg,null,23,19320,840,32.1429,0.0183963,unknown
avg,null,24,20160,840,31.5476,0.0402836,unknown
avg,null,25,21000,840,30.3571,0.32771,unknown
avg,null,26,21840,840,37.5,4.83295e-10,unknown
avg,null,27,22680,840,39.1667,6.23798e-13,unknown
avg,null,28,23520,840,32.8571,0.000130636,unknown
avg,null,29,24360,840,36.3095,2.344e-09,unknown
avg,null,30,25200,840,34.5238,1.16764e-05,unknown
avg,null,31,26040,840,32.2619,0.0035665,unknown
avg,null,32,26880,840,30.5952,0.0600536,unknown
avg,null,33,27720,840,36.3095,1.0672e-10,unknown
avg,null,34,28560,840,31.5476,0.0567406,unknown
avg,null,35,29400,840,31.9048,0.0173073,unknown
avg,null,36,30240,840,30.9524,0.0397577,unknown
avg,null,37,31080,840,31.3095,0.058338,unknown
avg,null,38,31920,840,31.6667,0.0149142,unknown
avg,null,39,32760,840,31.7857,0.0266086,unknown
avg,null,40,33600,840,30.5952,0.418281,unknown
avg,null,41,34440,840,31.4286,0.0678889,unknown
avg,null,42,35280,840,35.5952,5.69985e-09,unknown
avg,null,43,36120,840,31.4286,0.0554816,unknown
avg,null,44,36960,840,31.3095,0.085304,unknown
avg,null,45,37800,840,32.619,0.00041406,unknown
avg,null,46,38640,840,36.5476,8.01444e-08,unknown
avg,null,47,39480,840,42.381,8.7083e-24,unknown
avg,null,48,40320,840,41.9048,9.5025e-22,unknown
avg,null,49,41160,840,43.3333,3.57114e-24,unknown
avg,null,50,42000,840,34.2857,6.96561e-06,unknown
avg,null,51,42840,840,32.2619,0.0172297,unknown
avg,null,52,43680,840,43.2143,2.59226e-24,unknown
avg,null,53,44520,840,33.9286,0.000206086,unknown
avg,null,54,45360,840,30.2381,0.340985,unknown
avg,null,55,46200,840,33.4524,5.55804e-05,unknown
avg,null,56,47040,840,33.2143,0.00173365,unknown
avg,null,57,47880,840,30.5952,0.404972,unknown
avg,null,58,48720,840,31.1905,0.103966,unknown
avg,null,59,49560,840,33.0952,0.00495625,unknown
avg,null,60,50400,840,30.9524,0.283298,unknown
avg,null,61,51240,840,29.6429,0.482671,unknown
avg,null,62,52080,840,31.4286,0.057655,unknown
avg,null,63,52920,840,30.9524,0.0897631,unknown
avg,null,64,53760,840,32.381,0.0241668,unknown
avg,null,65,54600,840,31.1905,0.0568902,unknown
avg,null,66,55440,840,30.9524,0.277775,unknown
avg,null,67,56280,840,43.5714,1.68625e-23,unknown
avg,null,68,57120,840,32.5,0.013036,unknown
avg,null,69,57960,840,32.381,0.0229404,unknown
avg,null,70,58800,840,34.1667,0.000423773,unknown
avg,null,71,59640,840,34.1667,1.02153e-05,unknown
avg,null,72,60480,840,29.2857,0.698841,unknown
avg,null,73,61320,840,35,8.47485e-07,unknown
avg,null,74,62160,840,39.6429,9.71818e-20,unknown
avg,null,75,63000,840,31.3095,0.0587295,unknown
avg,null,76,63840,840,34.1667,0.000224292,unknown
avg,null,77,64680,840,31.3095,0.0949431,unknown
avg,null,78,65520,840,33.0952,0.00678836,unknown
avg,null,79,66360,840,36.0714,1.80959e-07,unknown
avg,null,80,67200,840,31.0714,0.0876706,unknown
